#,Title,Authors,Barcode,Call No,ISBN,Status,Patron Status,Hold Status
5695,"Leggings revolt","Polak, Monique",33124104042089,F POL,1459811895,In,0,No Hold
5696,"Leisure life of the ancient Greeks","Nardo, Don",33124020340815,938 NAR,1590185285,In,0,No Hold
5697,"Lemony Snicket : the unauthorized autobiography","Snicket, Lemony",33124020336755,F SNI,60562250,In,0,No Hold
5698,"Leonardo : art and science","Pedretti, Carlo",33124020337597,709.2 LEO PED,1844060365,In,0,No Hold
5699,"Leonardo da Vinci","Augarde, Steve",33124058453951,709.2 LEO AUG,9780753461747,In,0,No Hold
5700,"Leonardo da Vinci","Mason, Antony",33124040854449,709.2 LEO MAS,083685599,In,0,No Hold
5701,"Leonardo DiCaprio","Furnas, Brent",1788797,791.43028 092 DIC FUR,0582366941,In,0,No Hold
5702,"Leonardo","Debolini, Francesca",2475168,709.024 DAV DEB,751307297,In,0,No Hold
5703,"Leonardo, The last supper","Zeri, Federico",33124015989642,759.5 LEO ZER,155321000,In,0,No Hold
5704,"Leonardo, the universal man","Fregolent, Alessandra",33124038901871,709.2 LEO FRE,1592233481,In,0,No Hold
5705,"Leonardo's legacy : how Da Vinci reimagined the world","Klein, Stefan",33124096021638,709.2 LEO KLE,306820080,In,0,No Hold
5706,"Leopold II : butcher of the Congo","Olson, Tod",33124058119024,BIO 967.51022 LEO OLS,9780605262584,In,0,No Hold
5707,"Leprechaun in late winter","Osborne, Mary Pope",33124074241562,F OSB,037585651,Lost/Missing,0,No Hold
5708,"Leprechauns and Irish folklore : a nonfiction companion to Leprechaun in late winter","Osborne, Mary Pope",33124085394921,398.2 OSB,9780545241977,In,0,No Hold
5709,"Lessons from a dead girl","Knowles, Johanna Beth",33124102003547,F KNO,9780605200609,In,0,No Hold
5710,"Lester B. Pearson : the geek who made Canada proud","Gibb, Gordon R.",33124058452458,971.0643 PEA GIB,9780973640625,In,0,No Hold
5711,"Let it bleed : an Inspector Rebus novel","Rankin, Ian",1789127,F RAN,752804014,In,0,No Hold
5712,"Let it glow","Meyer, Marissa",33124127897493,F MEY,9781250360816,Out,0,No Hold
5713,"Let it snow : three holiday romances","Green, John",33124074240911,F LET,9780142414996,In,0,No Hold
5714,"Let me hear a rhyme","Jackson, Tiffany D.",33124110651741,F JAC,9780062840325,Lost/Missing,0,No Hold
5715,"Let them eat vegan! : 200 deliciously satisfying plant-powered recipes for the whole family","Burton, Dreena",33124092305662,641.5636 BUR,9780738215617,In,0,No Hold
5716,"Let's call it Canada : amazing stories of Canadian place names","Hughes, Susan",33124023744724,917.1 HUG,1894379497,In,0,No Hold
5717,"Let's go for a drive!","Willems, Mo",33124100187318,E WIL,9781368025553,In,0,No Hold
5718,"Let's go! : the story of getting from there to here","Flatt, Lizann",33124084353274,388 FLA,9780929095561,In,0,No Hold
5719,"Letters to a young brother : manifest your destiny","Harper, Hill",33124058451328,170.8421 HAR,9780605145900,In,0,No Hold
5720,"Letters to a young scientist","Wilson, Edward O",33124096021349,570.92 WIL,9780871403858,In,0,No Hold
5721,"Letters to a young sister : define your destiny","Harper, Hill",33124058451229,170.8422 HAR,9781592403516,In,0,No Hold
5722,"Leukemia","Parks, Peggy J.",33124070119309,616.99419 PAR,9781601520999,In,0,No Hold
5723,"Levers and pulleys","Rau, Dana Meachen",33124106057978,621.8078 RAU,9781926722849,In,0,No Hold
5724,"Leviathan","Westerfeld, Scott",33124070319255,F WES,9781416971733,In,0,No Hold
5725,"Lewis and Clark on their journey to the Pacific","Sapp, Richard",33124040854019,917.804 SAP,0836864298,In,0,No Hold
5726,"Li Jun and the iron road","Tait, Anne",33124104048383,F TAI,9781459731424,In,0,No Hold
5727,"Liar, liar : the theory, practice, and destructive properties of deception","Paulsen, Gary",33124085741303,F PAU,9780545495301,In,0,No Hold
5728,"The Liberal Party","Baldwin, Douglas",33124092797108,324.27106 BAL,9781770717022,In,0,No Hold
5729,"Liberation : stories of survival from the Holocaust","Hoffman, Betty N",33124082002287,940.5318 HOF,9780766033191,In,0,No Hold
5730,"Liberation : teens in the concentration camps and the teen soldiers who liberated them","Tito, E. Tina",2340287,940 .5318 TIT,823928462,In,0,No Hold
5731,"Libertad","Fullerton, Alma",33124070474050,F FUL,1554551064,In,0,No Hold
5732,"The librarian from the black lagoon","Thaler, Mike",33124096020903,E THA,0590503111,In,0,No Hold
5733,"The librarian of Basra : a true story from Iraq","Winter, Jeanette",33124103243043,020 BAK WIN,9780605000360,In,0,No Hold
5734,"Library girl","Horvath, Polly",33124127897782,F HOR,9781774883341,Out,0,No Hold
5735,"Library of souls : the third novel of Miss Peregrine's Peculiar Children","Riggs, Ransom",33124090481127,F RIG,9781594749315,In,0,No Hold
5736,"Library wars : love & war","Yumi, Kiiro",33124058452847,F YUM,9780605480872,In,0,No Hold
5737,"Library wars : love & war","Yumi, Kiiro",33124070321624,F YUM,9780605480872,In,0,No Hold
5738,"El libro sobre discriminación : historias de la vida real de luchas y triunfo","Abdelgabir, Gaby",33124118823839,305 ABD SPANISH,9781772774337,In,0,No Hold
5739,"Lies : a gone novel","Grant, Michael",33124085418746,F GRA,9780061449093,In,0,No Hold
5740,"Liesl & Po","Oliver, Lauren",33124109707306,F OLI,9780605532403,In,0,No Hold
5741,"The Lieutenant Governor","Simon, Elizabeth",33124106058018,320.471 SIM,9781487203832,In,0,No Hold
5742,"Lieutenant Hornblower","Forester, Cecil Scott",33124070118087,F FOR,0140119418,In,0,No Hold
5743,"Life","Richards, Keith",33124118822872,781.66 RIC,9780316034418,Lost/Missing,0,No Hold
5744,"Life, after","Littman, Sarah",33124102025888,F LIT,9780545151443,In,0,No Hold
5745,"Life and death in the camps","Shuter, Jane",33124049734014,940.5318 SHU,043115368,In,0,No Hold
5746,"The life and works of Frank Lloyd Wright","Costantino, Maria",2083155,720 .92 WRI COS,1552678504,In,0,No Hold
5747,"The life and works of Gustav Klimt","Harris, Nathaniel",33124020335377,759.36 KLI HAR,1858139236,In,0,No Hold
5748,"The life and works of Michelangelo","Harris, Nathaniel",33124020335310,709.2 MIC HAR,752511947,In,0,No Hold
5749,"Life as we knew it","Pfeffer, Susan Beth",33124054035885,F PFE,9780605103696,In,0,No Hold
5750,"The life cycle of a butterfly","Merritt, Robin Alice",33124082006684,595.789 MER,9781609731434,In,0,No Hold
5751,"The life cycle of a mosquito","Kalman, Bobbie",33124028662574,595.772 KAL,778706656,In,0,No Hold
5752,"Life doesn't frighten me","Angelou, Maya",33124104036552,811 ANG,9781419727481,In,0,No Hold
5753,"Life during the Renaissance","Netzley, Patricia D",1788602,940 .21 NET,1560063750,In,0,No Hold
5754,"Life in a pueblo","Bishop, Amanda",33124034591452,970.3 PUE BIS,9780605330801,In,0,No Hold
5755,"Life in an Anishinabe camp","Walker, Niki",33124034591460,970.3 OJI WAL,778703738,In,0,No Hold
5756,"Life in an estuary","Walker, Sally M",33124024916917,577.786 WAL,822521377,In,0,No Hold
5757,"Life in an old growth forest","Rapp, Valerie",33124024916560,577.3 RAP,822521350,Out,0,No Hold
5758,"Life in Castro's Cuba","Dunn, John M",33124020341029,972.91 DUN,9781590184646,In,0,No Hold
5759,"Life in the Elizabethan theater","Yancey, Diane",1789476,792 .09 YAN,1560063432,In,0,No Hold
5760,"Life in the far north","Kalman, Bobbie",33124034591189,970.419 KAL,778703770,In,0,No Hold
5761,"Life in the Hitler Youth","Keeley, Jennifer",2342851,943 .086 KEE,156006613,In,0,No Hold
5762,"Life is not an accident : a memoir of reinvention","Williams, Jay",33124118823185,796.323 WIL,9780062327994,Lost/Missing,0,No Hold
5763,"The life of a loyalist : a tale of survival in old Nova Scotia","Fillmore, Cathleen",33124020341177,971.602 FIL,1551539446,In,0,No Hold
5764,"Life of Pi : a novel","Martel, Yann",33124083410794,F MAR,9780307363053,In,0,No Hold
5765,"Life of the California coast nations","Aloian, Molly",33124034591411,970.4 ALO,9780605330610,In,0,No Hold
5766,"Life of the Navajo","Bishop, Amanda",33124034591239,970.3 NAV BIS,778703762,In,0,No Hold
5767,"Life of the Powhatan","Sjonger, Rebecca",33124034591312,970.3 POW SJO,9780605330634,In,0,No Hold
5768,"The life of Timon of Athens","Shakespeare, William",33124013728323,822.33 U5 DOL,140714871,In,0,No Hold
5769,"Life on the Underground Railroad","Senzell Isaacs, Sally",33124023744740,973.7115 SEN,1588104184,In,0,No Hold
5770,"Life on the Underground Railroad","Kallen, Stuart A.",2342846,973 .7115 KAL,1560066679,In,0,No Hold
5771,"Life stages and Native women : memory, teachings, and story medicine","Anderson, Kim",33124092799161,305.488 AND,9780887557262,In,0,No Hold
5772,"Life strategies for teens","McGraw, Jay",1870695,158.0835 MCG,074321546,In,0,No Hold
5773,"Life under the Taliban","Stewart, Gail Barbara",33124034592062,958.1046 STE,159018291,In,0,No Hold
5774,"The lifeguard","Morris, Mary",2469887,F MOR,312186940,In,0,No Hold
5775,"Light : a gone novel","Grant, Michael",33124102026126,F GRA,61449202,In,0,No Hold
5776,"The light between worlds","Weymouth, Laura E",33124114968992,F WEY,9780062696878,In,0,No Hold
